date,gen_mwh,gen_hours,peak_mw,min_mw,mean_mw,demand_peak_mw,demand_mwh,ls_mwh,ls_max_mw,ls_hours,gas_mwh,liquid_fuel_mwh,coal_mwh,hydro_mwh,solar_mwh,wind_mwh,india_bheramara_hvdc_mwh,india_tripura_mwh,india_adani_mwh,nepal_mwh,load_factor,censored
2015-04-22,117551.83333333333,24,6811.0,3153.0,4897.993055555556,6811.0,117551.83333333333,0.0,0.0,0,87520.66666666667,14702.833333333334,3782.6666666666665,948.5,0.0,0.0,10434.166666666666,0.0,0.0,0.0,0.7191297982022545,0
2015-04-23,113261.66666666667,24,6821.0,3326.0,4719.236111111111,6821.0,113261.66666666667,0.0,0.0,0,86247.33333333333,11875.666666666666,3879.3333333333335,725.0,0.0,0.0,10554.333333333334,0.0,0.0,0.0,0.6918686572512991,0
2015-04-24,105878.5,24,6790.0,3167.0,4411.604166666667,6790.0,105818.5,0.0,0.0,0,84091.5,8084.0,3796.5,522.0,0.0,0.0,9384.5,0.0,0.0,0.0,0.6497207903780069,0
2015-04-25,114355.02,24,6248.0,3624.0,4764.7925000000005,6248.0,113390.02,0.0,0.0,0,94952.36,5313.04,3722.48,829.26,0.0,0.0,9537.88,0.0,0.0,0.0,0.7626108354673496,0
2015-04-27,127777.5,24,6323.0,4470.0,5324.0625,6323.0,127777.5,0.0,0.0,0,103913.0,7646.5,3835.0,989.0,0.0,0.0,11005.5,0.0,0.0,0.0,0.8420152617428436,0
2015-04-28,124738.5,24,6718.0,4288.0,5197.4375,6718.0,124738.5,0.0,0.0,0,100855.5,8153.5,3744.5,877.0,0.0,0.0,11058.0,0.0,0.0,0.0,0.7736584548972909,0
2015-04-29,135200.0,24,7111.0,4552.0,5633.333333333333,7111.0,135200.0,0.0,0.0,0,104607.0,15000.5,3826.5,926.0,0.0,0.0,10445.0,0.0,0.0,0.0,0.7921998781230957,0
2015-04-30,142020.0,24,6889.0,4986.0,5917.5,6889.0,142020.0,0.0,0.0,0,110203.0,16216.5,3722.5,1030.0,0.0,0.0,10848.0,0.0,0.0,0.0,0.8589780809986935,0
2015-05-01,122740.5,24,6727.0,3978.0,5114.1875,6727.0,122740.5,0.0,0.0,0,96406.0,10729.0,3740.0,958.0,0.0,0.0,10907.5,0.0,0.0,0.0,0.7602478816708785,0
2015-05-02,137309.5,24,7037.0,4663.0,5721.229166666667,7037.0,137309.5,0.0,0.0,0,105451.0,16093.5,3659.0,1077.0,0.0,0.0,11129.0,0.0,0.0,0.0,0.8130210553739757,0
2015-05-03,140337.0,24,7304.0,4668.0,5847.375,7304.0,140337.0,0.0,0.0,0,105832.0,18784.0,3647.0,916.0,0.0,0.0,11181.0,0.0,0.0,0.0,0.800571604600219,0
2015-05-04,150065.5,24,7658.0,4954.0,6252.729166666667,7658.0,150065.5,0.0,0.0,0,109181.0,24955.5,3733.0,1026.0,0.0,0.0,11170.0,0.0,0.0,0.0,0.8164963654566032,0
2015-05-05,157449.0,24,7657.0,5572.0,6560.375,7657.0,157417.5,0.0,0.0,0,114713.5,27059.0,3641.5,914.5,0.0,0.0,11119.5,0.0,0.0,0.0,0.8567813765182186,0
2015-05-06,156070.5,24,7712.0,5369.0,6502.9375,7712.0,156070.5,0.0,0.0,0,112406.5,27792.5,3615.0,803.5,0.0,0.0,11160.5,0.0,0.0,0.0,0.8432232235477178,0
2015-05-07,150562.5,24,7235.5,5382.0,6273.4375,7235.5,150562.5,0.0,0.0,0,112156.0,22891.0,3662.5,1022.0,0.0,0.0,10822.0,0.0,0.0,0.0,0.8670357957293898,0
2015-05-08,115518.5,24,6727.0,3569.0,4813.270833333333,6727.0,115435.0,0.0,0.0,0,92691.33333333333,7321.5,3868.6666666666665,867.6666666666666,0.0,0.0,10766.333333333334,0.0,0.0,0.0,0.7155152123284276,0
2015-05-09,130095.85714285714,21,7543.0,4897.0,6195.040816326531,7543.0,130095.85714285714,0.0,0.0,0,98576.52380952382,17271.714285714286,3352.4761904761904,950.6190476190476,0.0,0.0,9544.52380952381,0.0,0.0,0.0,0.8212966745759686,0
2015-05-10,147417.0,24,7489.0,4806.0,6142.375,7489.0,147417.0,0.0,0.0,0,107652.5,23905.0,3701.5,974.5,0.0,0.0,10999.5,0.0,0.0,0.0,0.8201862732006944,0
2015-05-11,134949.0,24,7178.0,3328.0,5622.875,7178.0,134949.0,0.0,0.0,0,102418.5,17359.5,3696.0,1254.0,0.0,0.0,10121.0,0.0,0.0,0.0,0.7833484257453329,0
2015-05-12,131425.5,24,6844.0,3655.0,5476.0625,6844.0,131425.5,0.0,0.0,0,101271.5,16207.0,1872.0,1310.0,0.0,0.0,10765.0,0.0,0.0,0.0,0.8001260227936879,0
2015-05-13,126638.0,21,7551.0,4787.0,6030.380952380952,7551.0,126638.0,0.0,0.0,0,91653.07142857143,23154.857142857145,1276.642857142857,1191.0,0.0,0.0,9358.42857142857,0.0,0.0,0.0,0.7986201764509273,0
