holdout,train_n,anchor_n,lam,bias,bias_sd,mape
2019,946,329,0.0,3.735,0.775,6.636
2019,946,329,1.0,3.655,0.361,6.456
2019,946,329,5.0,3.342,0.355,6.242
2019,946,329,20.0,2.919,0.308,5.901
2019,946,329,100.0,1.791,0.165,5.425
2019,946,329,blind,-0.327,0.134,5.313
2020,1304,454,0.0,inf,,inf
2020,1304,454,1.0,inf,,inf
2020,1304,454,5.0,inf,,inf
2020,1304,454,20.0,-11.18,0.228,23.043
2020,1304,454,100.0,inf,,inf
2020,1304,454,blind,inf,,inf
2021,1670,582,0.0,-0.846,0.021,6.477
2021,1670,582,1.0,-0.992,0.268,6.467
2021,1670,582,5.0,-1.623,0.542,6.648
2021,1670,582,20.0,-2.112,0.744,6.788
2021,1670,582,100.0,-2.588,0.862,6.961
2021,1670,582,blind,-5.412,0.44,7.264
