holdout,train_n,admit,true_suppression_pct,model,bias,bias_sd,mape
2019,946,1.0,0.0,blind,0.369,0.153,5.401
2019,946,1.0,0.0,tobit,3.3,0.436,6.706
2019,946,1.0,0.0,interval,1.219,0.6,5.634
2019,946,0.6,0.82,blind,-0.025,0.062,5.282
2019,946,0.6,0.82,tobit,2.444,0.343,6.211
2019,946,0.6,0.82,interval,0.508,0.79,5.416
2019,946,0.4,1.23,blind,-0.397,0.093,5.361
2019,946,0.4,1.23,tobit,2.234,0.352,6.018
2019,946,0.4,1.23,interval,0.022,0.441,5.43
2020,1304,1.0,0.0,blind,inf,,inf
2020,1304,1.0,0.0,tobit,inf,,inf
2020,1304,1.0,0.0,interval,inf,,inf
2020,1304,0.6,0.82,blind,inf,,inf
2020,1304,0.6,0.82,tobit,inf,,inf
2020,1304,0.6,0.82,interval,inf,,inf
2020,1304,0.4,1.23,blind,inf,,inf
2020,1304,0.4,1.23,tobit,inf,,inf
2020,1304,0.4,1.23,interval,inf,,inf
2021,1670,1.0,0.0,blind,-3.99,0.141,6.455
2021,1670,1.0,0.0,tobit,-0.923,0.721,6.936
2021,1670,1.0,0.0,interval,-2.82,0.527,6.777
2021,1670,0.6,0.82,blind,-4.849,0.255,6.926
2021,1670,0.6,0.82,tobit,-1.536,0.593,6.274
2021,1670,0.6,0.82,interval,-3.835,0.268,6.675
2021,1670,0.4,1.23,blind,-5.104,0.463,7.025
2021,1670,0.4,1.23,tobit,-1.905,0.646,6.269
2021,1670,0.4,1.23,interval,-4.473,0.097,6.726
