,gen_TWh,delivered_TWh,loss_TWh,tx_loss_%,dx_loss_%,WACOG_BDT_kWh,tariff_BDT_kWh,gen_cost_crore,revenue_crore,subsidy_crore,subsidy_musd,ENS_GWh,cost_of_losses_crore,ENS_cost_crore@40,ENS_cost_crore@90,ENS_cost_crore@180
2015,51.479,45.261,6.218,2.85,9.5,10.824,6.1,55721.156,27609.153,28112.002,2304.262,11.303,6730.698,45.211,101.724,203.448
2016,56.424,49.609,6.816,2.85,9.5,11.819,6.1,66689.338,30261.215,36428.123,2985.912,7.448,8055.572,29.794,67.036,134.071
2017,60.607,53.42,7.187,2.857,9.267,11.989,6.35,72660.427,33921.44,38738.987,3175.327,8.037,8616.521,32.146,72.329,144.658
2018,66.748,58.98,7.768,2.863,9.033,11.921,6.6,79568.583,38926.955,40641.628,3331.281,3.344,9260.201,13.375,30.093,60.186
2019,73.095,64.749,8.346,2.87,8.8,10.613,6.85,77574.563,44353.085,33221.478,2723.072,2.598,8857.029,10.391,23.38,46.761
2020,73.421,65.224,8.197,2.877,8.533,11.108,6.943,81558.007,45287.287,36270.72,2973.01,16.249,9105.564,64.998,146.245,292.491
2021,82.357,73.37,8.986,2.883,8.267,12.242,7.037,100818.762,51628.328,49190.434,4032.003,0.603,11000.985,2.412,5.427,10.854
2022,87.803,78.444,9.359,2.89,8.0,13.856,7.13,121659.315,55930.53,65728.785,5387.605,1868.504,12967.423,7474.016,16816.536,33633.072
2023,92.326,82.646,9.681,3.07,7.65,11.764,7.72,108615.754,63802.567,44813.186,3673.212,2742.296,11388.519,10969.184,24680.664,49361.328
2024,97.509,87.609,9.9,3.13,7.25,11.605,8.25,113154.847,72277.478,40877.369,3350.604,2194.114,11488.697,8776.457,19747.028,39494.056
2025,104.441,93.929,10.511,3.165,7.125,11.54,8.6,120527.937,80779.212,39748.725,3258.092,384.925,12130.527,1539.7,3464.325,6928.65
2026,88.005,79.225,8.779,3.2,7.0,11.102,8.95,97704.747,70906.589,26798.159,2196.57,376.228,9747.026,1504.911,3386.051,6772.101
